date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:00	149/149	---M--	200	added ('OK')	text/plain	date:Sun,%2027%20May%202018%2006:58:02%20GMT	http://www.pof-1.com/robots.txt		(from )
01:58:00	25301/25301	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:02%20GMT	http://www.pof-1.com/	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/index.html	(from )
01:58:00	17907/17907	---M-Z	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2006:58:03%20GMT	http://www.pof-1.com/sitemap	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/sitemap.html	(from http://www.pof-1.com/)
01:58:01	5699/5699	---M-Z	200	added ('OK')	text/css	etag:1527113583783	http://www.pof-1.com/server-css/common.css?cache=2849868597	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server-css/common8a3d.css	(from http://www.pof-1.com/)
01:58:01	1455/1455	---M-Z	200	added ('OK')	text/css	etag:1527113584279	http://www.pof-1.com/server-css/site.css?cache=2761954733	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server-css/sitee9f8.css	(from http://www.pof-1.com/)
01:58:01	8379/8379	---M-Z	200	added ('OK')	text/css	etag:1527113521549	http://www.pof-1.com/server-css/pageelements.css?cache=2987632861	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server-css/pageelementsed35.css	(from http://www.pof-1.com/)
01:58:01	3307/3307	---M-Z	200	added ('OK')	text/css	etag:1527113215766	http://www.pof-1.com/server-css/preview.css?cache=4285184602	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server-css/preview2c9b.css	(from http://www.pof-1.com/)
01:58:02	82/82	---M--	200	added ('OK')	image/png	date:Sun,%2027%20May%202018%2006:58:04%20GMT	http://www.pof-1.com/oslo/square.img?color=0033bb&text=000000&accent=bbbbbb&compliment=7e9dd5&navigation=000000&heading=000000&title=000000&logo=ffffff&link=000000&square.fill.color=b2c2ee&cache=1521468389141	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/oslo/square5f96.png	(from http://www.pof-1.com/)
01:58:04	38471/38471	---M-Z	200	added ('OK')	application/x-javascript	etag:1470679646000	http://www.pof-1.com/server/js/effects.js?cache=1470679646000	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server/js/effectsd957.js	(from http://www.pof-1.com/)
01:58:04	163537/163537	---MCZ	200	added ('OK')	application/x-javascript	etag:1470679646000	http://www.pof-1.com/server/js/prototype.js?cache=1470679646000	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server/js/prototyped957.js	(from http://www.pof-1.com/)
01:58:04	18253/18253	---M-Z	200	added ('OK')	application/x-javascript	etag:1470679646000	http://www.pof-1.com/server/js/server.js?cache=1470679646000	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server/js/serverd957.js	(from http://www.pof-1.com/)
01:58:04	25409/25409	---M-Z	200	added ('OK')	application/x-javascript	etag:1470679646000	http://www.pof-1.com/server/js/bounds.js?cache=1470679646000	C:/My%20Web%20Sites/POF%20GUY/www.pof-1.com/server/js/boundsd957.js	(from http://www.pof-1.com/)
